id;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;city
10730;42,3584;-71,06185;Entire home/apt;85;91;32;6;364;Boston
10986;42,36352;-71,05075;Entire home/apt;83;28;2;11;340;Boston
18711;42,32212;-71,06096;Entire home/apt;129;32;52;42;211;Boston
22195;42,34558;-71,0793;Private room;152;1;21;6;205;Boston
24240;42,36366;-71,05023;Entire home/apt;275;2;104;1;169;Boston
29765;42,37754;-71,06642;Entire home/apt;226;2;93;2;114;Boston
40601;42,3151;-71,11108;Private room;85;56;77;1;243;Boston
45987;42,37404;-71,06118;Entire home/apt;125;3;130;1;89;Boston
60029;42,32584;-71,08927;Private room;78;14;141;5;179;Boston
60356;42,35712;-71,0618;Entire home/apt;85;32;18;6;296;Boston
67774;42,35867;-71,06332;Entire home/apt;85;32;44;6;279;Boston
69369;42,32614;-71,0884;Private room;82;14;120;5;179;Boston
95453;42,35937;-71,13156;Entire home/apt;199;5;41;1;267;Boston
182613;42,37739;-71,06044;Entire home/apt;119;91;106;1;9;Boston
190170;42,31039;-71,06907;Entire home/apt;42;7;70;1;8;Boston
197727;42,3132;-71,11832;Private room;60;30;44;1;119;Boston
210097;42,31864;-71,10641;Entire home/apt;93;3;195;1;249;Boston
220676;42,36539;-71,05438;Private room;145;3;251;1;89;Boston
257588;42,33066;-71,03984;Entire home/apt;264;2;331;1;219;Boston
276450;42,33821;-71,07978;Entire home/apt;113;30;93;99;170;Boston
322593;42,34232;-71,07594;Entire home/apt;171;28;409;4;172;Boston
349347;42,33824;-71,08171;Entire home/apt;107;30;111;99;79;Boston
400067;42,30088;-71,0819;Private room;60;91;24;4;363;Boston
447826;42,31658;-71,11012;Private room;71;3;313;1;251;Boston
530983;42,31368;-71,0612;Entire home/apt;206;29;67;42;289;Boston
533114;42,3122;-71,0611;Entire home/apt;86;32;53;42;325;Boston
533152;42,32212;-71,06096;Entire home/apt;65;32;56;42;251;Boston
561769;42,31371;-71,06126;Entire home/apt;103;29;59;42;204;Boston
579605;42,32212;-71,06095;Entire home/apt;105;32;52;42;301;Boston
601763;42,29192;-71,15407;Entire home/apt;111;32;37;42;211;Boston
611081;42,37579;-71,04981;Entire home/apt;228;2;37;3;341;Boston
619142;42,37808;-71,06343;Entire home/apt;175;91;168;1;296;Boston
646087;42,33477;-71,04995;Private room;190;1;7;1;173;Boston
658029;42,33922;-71,08141;Entire home/apt;113;30;117;99;151;Boston
697078;42,35893;-71,06331;Entire home/apt;85;91;19;6;334;Boston
708802;42,37755;-71,0628;Entire home/apt;182;2;374;1;194;Boston
743759;42,29424;-71,13183;Private room;25;91;5;2;365;Boston
753446;42,28588;-71,12491;Private room;55;91;142;1;365;Boston
771309;42,30805;-71,04966;Private room;59;91;2;1;362;Boston
798957;42,34232;-71,07594;Entire home/apt;329;28;418;4;5;Boston
801680;42,32852;-71,09539;Entire home/apt;169;3;57;6;1;Boston
820073;42,3558;-71,06104;Entire home/apt;332;2;78;2;70;Boston
826706;42,29996;-71,0806;Private room;79;91;7;4;365;Boston
839265;42,29822;-71,07621;Private room;61;91;26;4;363;Boston
863788;42,34367;-71,0708;Entire home/apt;385;2;9;1;2;Boston
891661;42,36853;-71,05363;Entire home/apt;145;2;413;1;312;Boston
894539;42,2909;-71,13024;Private room;90;30;59;2;233;Boston
901914;42,34137;-71,0695;Entire home/apt;217;1;3;1;83;Boston
962610;42,29053;-71,14106;Entire home/apt;95;4;94;3;178;Boston
973695;42,35929;-71,06086;Entire home/apt;257;91;60;1;365;Boston
989163;42,34308;-71,07316;Entire home/apt;184;3;54;7;95;Boston
990668;42,34232;-71,07595;Private room;142;3;293;4;209;Boston
1009275;42,33269;-71,04536;Private room;120;1;85;2;243;Boston
1030500;42,29106;-71,11594;Entire home/apt;107;1;21;1;213;Boston
1090413;42,34502;-71,0803;Private room;102;3;166;3;358;Boston
1090545;42,34373;-71,08224;Private room;105;3;117;3;345;Boston
1092093;42,33285;-71,10115;Entire home/apt;90;91;32;6;254;Boston
1109224;42,32051;-71,11216;Entire home/apt;448;2;74;1;229;Boston
1161210;42,27176;-71,16759;Private room;70;28;209;1;274;Boston
1167987;42,29317;-71,13016;Private room;26;91;8;2;336;Boston
1171578;42,35384;-71,16795;Private room;99;1;249;1;365;Boston
1187188;42,30693;-71,10789;Entire home/apt;136;91;28;1;353;Boston
1240598;42,35257;-71,0636;Entire home/apt;70;10;174;11;1;Boston
1303261;42,3588;-71,06972;Entire home/apt;425;91;23;1;358;Boston
1327725;42,346;-71,1399;Entire home/apt;104;3;257;1;152;Boston
1340649;42,32825;-71,05704;Private room;66;91;31;1;90;Boston
1374434;42,32546;-71,08894;Private room;65;28;41;5;186;Boston
1374466;42,32546;-71,08894;Private room;60;28;38;5;161;Boston
1403408;42,32546;-71,08894;Private room;70;28;19;5;186;Boston
1425973;42,33937;-71,08026;Private room;350;91;25;1;89;Boston
1454258;42,30844;-71,0464;Private room;100;1;311;3;365;Boston
1471308;42,33325;-71,10253;Private room;85;2;167;1;151;Boston
1510876;42,31019;-71,04829;Private room;60;1;45;3;362;Boston
1541166;42,38159;-71,07892;Entire home/apt;109;2;39;1;57;Boston
1544144;42,37203;-71,06165;Entire home/apt;350;3;14;1;322;Boston
1545185;42,3484;-71,15696;Entire home/apt;75;2;123;3;81;Boston
1596664;42,3256;-71,09413;Private room;49;60;20;2;103;Boston
1644031;42,34017;-71,04763;Private room;113;1;260;1;90;Boston
1668313;42,28194;-71,13337;Private room;58;28;37;2;365;Boston
1682936;42,32371;-71,09458;Entire home/apt;150;2;223;2;365;Boston
1692573;42,31338;-71,11719;Entire home/apt;145;2;213;1;303;Boston
1721016;42,28607;-71,13236;Entire home/apt;109;30;7;2;364;Boston
1724900;42,28291;-71,13268;Entire home/apt;113;28;43;2;364;Boston
1732804;42,29041;-71,05853;Private room;60;1;126;1;354;Boston
1810397;42,34279;-71,0711;Entire home/apt;890;4;42;1;360;Boston
1815326;42,35509;-71,16242;Private room;99;1;302;1;212;Boston
1819994;42,34947;-71,09265;Entire home/apt;265;91;2;4;362;Boston
1821633;42,30958;-71,04792;Private room;100;1;211;3;365;Boston
1863443;42,34411;-71,1013;Entire home/apt;169;29;6;40;364;Boston
1887507;42,34066;-71,05117;Private room;128;2;72;3;90;Boston
2000797;42,31502;-71,06115;Private room;70;91;143;5;365;Boston
2014651;42,30711;-71,10582;Private room;120;91;38;1;365;Boston
2021483;42,33535;-71,04741;Entire home/apt;650;1;8;2;305;Boston
2022303;42,34179;-71,05274;Entire home/apt;264;2;197;2;256;Boston
2126053;42,35672;-71,07147;Entire home/apt;165;5;105;1;259;Boston
2183058;42,36429;-71,05452;Entire home/apt;211;91;169;1;360;Boston
